001591,01,11123426000159,RESTAURANTE RECANTO LTDA,VILLA PETRA PADARIA,SP,SAO PAULO,AUTOMACAO
001592,01,11137145000155,DUKEO COMERCIO DE ALIMENTOS LTDA,DUKEO TEMAKERIA,SP,SAO PAULO,AUTOMACAO
001593,01,11144798000161,DED PAES E DOCES LTDA - EPP,DED PAES E DOCES,SP,SAO PAULO,AUTOMACAO
001609,01,12027278000131,AUTO POSTO NOVO PERUS LTDA,AUTO POSTO NOVO PERUS,SP,SAO PAULO,AUTOMACAO
001622,01,12721467000100,ANDRE MARQUES - CONVENIENCIAS - ME,ANDRE MARQUES CONVENIENCIA,SP,GUARUJA,AUTOMACAO
001623,01,12805491000127,ZICOS CAFE LTDA,ZICOS CAFE,SP,SAO PAULO,AUTOMACAO
001630,01,13157046000160,PANIFICADORA E CONVENIENCIA DELICIA DO MOINHO,PANIFICADORA DELICIA DO MOINHO,SP,SAO PAULO,AUTOMACAO
001639,01,13335349000126,DUSHI BAR E RESTAURANTE LTDA EPP,DUSHI BAR E RESTAURANTE,SP,AMERICANA,AUTOMACAO
001653,01,13919404000125,AUTO POSTO SUPER PRESIDENTE LTDA,CONVENIENCA POSTO PRESIDENTE,SP,SAO PAULO,AUTOMACAO
001656,01,14198453000189,KATIA APARECIDA BOU RIZK LIMA ME,VIVAN PAES E DOCES,SP,SAO PAULO,AUTOMACAO
001660,01,14427392000184,IRUMA SUSHI RESTAURANTE LTDA,KAZAMI SUSHI,SP,SAO PAULO,AUTOMACAO
001678,01,15575562000130,J B V DOS SANTOS COZINHA JAPONESA ME,RESTAURANTE SUZAKU,SP,SAO PAULO,AUTOMACAO
001685,01,16492703000114,MG3 COMERCIO DE ALIMENTOS LTDA,RESTAURANTE QUALITY,SP,BARUERI,AUTOMACAO
001688,01,16668470000168,FINESTRA CAFE LTDA. - ME,FINESTRA CAFE,SP,SAO PAULO,AUTOMACAO
001717,01,17576834000576,CAFE ESCOLA COMERCIO DE ALIMENTOS E BEBI,CASA PILAO TELHA NORTE ZN,SP,SAO PAULO,AUTOMACAO
001725,01,17977004000127,RESTAURANTE RC GRILL LTDA EPP,RESTAURANTE GRILLARICA 5,SP,BARUERI,AUTOMACAO
001747,01,19137778000175,ADNILTON ASSIS DOS SANTOS,TOPO DO ACAI,SP,SAO PAULO,AUTOMACAO
001810,01,43143825000178,ZKF ENGENHARIA LTDA.,ZKF 153,SP,SAO PAULO,AUTOMACAO
001814,01,43995877000172,IGREJA PRESBITERIANA UNIDA COREANA DE SA,IGREJA COREANA,SP,SAO PAULO,AUTOMACAO
001818,01,45576717000114,29 TABELIAO DE NOTAS DA CAPITAL,CARTORIO MOEMA,SP,SAO PAULO,AUTOMACAO
001819,01,45635182000105,PANIFICADORA NOVA GUARULHOS LTDA,PANIFICADORA NOVA GUARULHOS,SP,GUARULHOS,AUTOMACAO
001823,01,46951943000109,SUPERMERCADO OURINHOS LTDA,SUPERMERCADO OURINHOS,SP,SAO PAULO,AUTOMACAO
001824,01,47084348000178,PANIFICADORA E CONFEITARIA RAINHA DE VILA GOMES,PANIFICADORA RAINHA DE VILA GOMES,SP,SAO PAULO,AUTOMACAO
001826,01,47244355000190,PADARIA E CONFEITARIA RAINHA DA PAZ LTDA,MARIA DO CEU PAES E DOCES,SP,SAO PAULO,AUTOMACAO
001836,01,48605562000195,EMPORIO BELLA VISTA LTDA EPP,EMPORIO BELLA VISTA,SP,SAO PAULO,AUTOMACAO
001837,01,48678429000169,STATUS PANIFICADORA LTDA EPP,PANIFICADORA STATUS,SP,SANTOS,AUTOMACAO
